Timestamp,Temperature,CORE 1(%),CORE 2(%),CORE 3(%),CORE 4(%),CORE 1(MHZ),CORE 2(MHZ),CORE 3(MHZ),CORE 4(MHZ),Available Mem (MHZ),CPU (%),MEM (%)
2019-11-11 22:11:49.727709,50.5,0.0,3.0,3.0,0.0,600.0,600.0,600.0,600.0,645058560,0.0,0.2
2019-11-11 22:11:51.753602,50.5,3.2,0.0,2.0,0.0,600.0,600.0,600.0,600.0,645025792,0.0,0.2
2019-11-11 22:11:53.779542,50.5,3.2,0.0,2.0,0.0,600.0,600.0,600.0,600.0,645058560,0.0,0.2
2019-11-11 22:11:55.805423,50.5,2.1,0.0,5.1,1.0,600.0,600.0,600.0,600.0,644939776,0.0,0.2
2019-11-11 22:11:57.831122,50.5,0.0,2.0,3.0,0.0,600.0,600.0,600.0,600.0,645042176,0.0,0.2
2019-11-11 22:11:59.856822,50.5,2.1,2.1,2.0,1.0,600.0,600.0,600.0,600.0,645042176,0.0,0.2
2019-11-11 22:12:01.882906,50.5,2.1,1.0,3.0,0.0,600.0,600.0,600.0,600.0,644993024,0.0,0.2
2019-11-11 22:12:03.909865,50.5,0.0,1.0,5.0,0.0,600.0,600.0,600.0,600.0,644886528,0.0,0.2
2019-11-11 22:12:05.935316,50.5,2.1,2.0,1.0,0.0,600.0,600.0,600.0,600.0,644853760,0.0,0.2
2019-11-11 22:12:07.961334,50.5,1.1,2.0,3.0,0.0,600.0,600.0,600.0,600.0,644894720,0.0,0.2
2019-11-11 22:12:09.987717,50.5,1.1,1.0,2.0,0.0,600.0,600.0,600.0,600.0,644878336,0.0,0.2
2019-11-11 22:12:12.014029,50.5,3.2,1.0,3.0,0.0,600.0,600.0,600.0,600.0,644878336,0.0,0.2
2019-11-11 22:12:14.041021,51.0,5.2,1.0,2.0,0.0,600.0,600.0,600.0,600.0,644976640,0.0,0.2
2019-11-11 22:12:16.067049,49.4,3.2,0.0,3.0,0.0,600.0,600.0,600.0,600.0,645017600,0.0,0.2
2019-11-11 22:12:18.094030,51.0,1.1,2.0,4.0,1.0,600.0,600.0,600.0,600.0,645152768,0.0,0.2
2019-11-11 22:12:20.120353,50.5,10.8,0.0,3.0,1.0,600.0,600.0,600.0,600.0,644993024,0.0,0.2
2019-11-11 22:12:22.147367,50.5,1.0,2.1,3.0,0.0,600.0,600.0,600.0,600.0,645144576,0.0,0.2
2019-11-11 22:12:24.172319,50.5,1.0,0.0,4.0,0.0,600.0,600.0,600.0,600.0,645144576,0.0,0.2
2019-11-11 22:12:26.197408,51.0,6.2,0.0,3.0,0.0,600.0,600.0,600.0,600.0,645009408,0.0,0.2
2019-11-11 22:12:28.223673,50.5,9.2,1.0,0.0,0.0,600.0,600.0,600.0,600.0,645009408,0.0,0.2
2019-11-11 22:12:30.249371,51.0,4.1,3.0,0.0,0.0,600.0,600.0,600.0,600.0,645029888,0.0,0.2
2019-11-11 22:12:32.275494,51.0,3.1,4.1,1.0,0.0,600.0,600.0,600.0,600.0,645038080,0.0,0.2
2019-11-11 22:12:34.301363,50.5,3.2,3.0,0.0,0.0,600.0,600.0,600.0,600.0,644825088,0.0,0.2
2019-11-11 22:12:36.327737,50.5,3.2,3.0,0.0,0.0,600.0,600.0,600.0,600.0,645079040,0.0,0.2
2019-11-11 22:12:38.353473,50.5,3.2,3.0,0.0,0.0,600.0,600.0,600.0,600.0,644833280,0.0,0.2
2019-11-11 22:12:40.379541,50.5,5.1,0.0,0.0,0.0,600.0,600.0,600.0,600.0,644816896,0.0,0.2
2019-11-11 22:12:42.406876,50.5,0.0,3.0,1.0,0.0,600.0,600.0,600.0,600.0,644800512,0.0,0.2
2019-11-11 22:12:44.433633,51.5,3.2,1.0,2.0,0.0,600.0,600.0,600.0,600.0,645079040,0.0,0.2
2019-11-11 22:12:46.459404,50.5,0.0,4.0,1.0,0.0,600.0,600.0,600.0,600.0,645062656,0.0,0.2
2019-11-11 22:12:48.487123,50.5,0.0,1.0,3.0,1.0,600.0,600.0,600.0,600.0,645111808,0.0,0.2
2019-11-11 22:12:50.514034,50.5,2.1,1.0,3.0,0.0,600.0,600.0,600.0,600.0,645214208,0.0,0.2
2019-11-11 22:12:52.540122,50.5,3.1,4.0,2.0,0.0,600.0,600.0,600.0,600.0,645246976,0.0,0.2
2019-11-11 22:12:54.566591,50.5,3.1,4.0,2.0,0.0,600.0,600.0,600.0,600.0,645087232,0.0,0.2
2019-11-11 22:12:56.592709,51.0,3.2,0.0,0.0,0.0,600.0,600.0,600.0,600.0,645128192,0.0,0.2
2019-11-11 22:12:58.619958,50.5,1.1,0.0,0.0,4.1,600.0,600.0,600.0,600.0,645259264,0.0,0.2
2019-11-11 22:13:00.646218,51.0,3.1,3.0,0.0,3.0,600.0,600.0,600.0,600.0,645513216,0.0,0.2
2019-11-11 22:13:02.671462,50.5,0.0,1.0,0.0,3.1,600.0,600.0,600.0,600.0,645226496,0.0,0.2
2019-11-11 22:13:04.698017,50.5,1.1,1.0,0.0,4.0,600.0,600.0,600.0,600.0,645259264,0.0,0.2
